pl,mig
Pan musi czekać na konsultację z lekarzem.,Ty czekać lekarz spotkanie
Do lekarza można rejestrować się telefonicznie.,Lekarz rejestracja tel. można
Do lekarza można rejestrować się sms.,Lekarz rejestracja sms można
Do lekarza można rejestrować się e-mail.,Lekarz rejestracja email można
Lekarz za chwile przyjdzie proszę czekać.,Prosić ty czekać lekarz za chwilę przyjść
Pielęgniarka za chwile przyjdzie proszę czekać.,Prosić ty czekać pielęgniarka za chwilę przyjść
Pani jest chora na grypę.,Ty choroba grypa
Pan jest chory na grypę.,Ty choroba grypa
Pani jest chora na anginę,. ty choroba angina
Pan jest chora na anginę.,Ty choroba angina
Papierosy niszczą zdrowie.,Papierosy zdrowie niszczyć
Alkohol niszczy zdrowie.,Alkohol zdrowie niszczyć
Narkotyki niszczą zdrowie.,Narkotyki zdrowie niszczyć
Pani ma reumatyzm.,Ty choroba reumatyzm
Pan ma reumatyzm.,Ty choroba reumatyzm
Pani ma nowotwór-rak.,Ty choroba rak
Pan ma nowotwór-rak.,Ty choroba rak
Muszę zanieść wyniki badań lekarzowi.,Wyniki badanie moje do lekarz dać muszę
Muszę zanieść wyniki badań lekarzowi.,Wyniki badanie moje lekarz dać muszę
Proszę jutro przynieść audiogram.,Ty audiogram jutro przynieść
Kiedy Pani wykona badanie krwi?,Ty badanie krwi wykonasz kiedy
Kiedy Pan wykona badanie krwi?,Ty badanie krwi wykonasz kiedy
Kiedy Pani przyniesie skierowanie?,Ty skierowanie przynieść kiedy
Kiedy Pan przyniesie skierowanie?,Ty skierowanie przynieść kiedy
Gdzie jest szpital?,Szpital gdzie
Gdzie jest apteka?,Apteka gdzie
Gdzie jest szatnia w szpitalu?,Szpital w tym szatnia gdzie
Gdzie jest szatnia w przychodni?,Przychodnia w tym szatnia gdzie
Pani jest poważnie chora.,Ty choroba poważnie
Pan jest poważnie chory.,Ty choroba poważnie
Ja złamałam nogę na ulicy.,Ja noga ulica złamać
Ja złamałam rękę na ulicy.,Ja ręka ulica złamać
Ja złamałem nogę na ulicy.,Ja noga ulica złamać
Ja złamałem rękę na ulicy.,Ja ręka ulica złamać
Nie mam tabletek przeciwbólowych.,Ja tabletki przeciw ból nie mieć
Czy Pani dobrze widzi I słyszy?,Ty widzieć słyszeć dobrze
Czy Pan dobrze widzi I słyszy?,Ty widzieć słyszeć dobrze
Pani potrzebna jest rehabilitacja.,Ty rehabilitacja musieć
Panu potrzebna jest rehabilitacja.,Ty rehabilitacja musieć
Pani będzie mieć kroplówkę.,Ty kroplówka mieć
Pan będzie mieć kroplówkę.,Ty kroplówka mieć
Pani będzie mieć zastrzyki.,Ty zastrzyki mieć
Pan będzie mieć zastrzyki.,Ty zastrzyki mieć
Pani ma grypę I musi codziennie brać tabletki.,Ty grypa mieć codziennie tabletki brać
Pan ma grypę I musi codziennie brać tabletki.,Ty grypa mieć codziennie tabletki brać
Pani ma anginę I musi codziennie brać tabletki.,Ty angina mieć codziennie tabletki brać
Pan ma anginę I musi codziennie brać tabletki.,Ty angina mieć codziennie tabletki brać
Ma Pani tydzień zwolnienia.,Ty tydzień zwolnienie mieć
Ma Pan tydzień zwolnienia.,Ty tydzień zwolnienie mieć
Na recepcie ma Pani zapisane tabletki na gardło.,Recepta tu zapisać ty mieć tabletki gardło
Na recepcie ma Pan zapisane tabletki na gardło.,Recepta tu zapisać ty mieć tabletki gardło
Na recepcie ma Pani zapisane leki na gardło.,Recepta tu zapisać ty mieć tabletki gardło
Na recepcie ma Pan zapisane leki na gardło.,Recepta tu zapisać ty mieć tabletki gardło
Pani jest w ciąży.,Ty ciąża jest
Kiedy Pani będzie rodzić?,Ty poród kiedy
Pani ma termin porodu na 15 grudzień.,Ty poród grudzień 15
Pani ma termin porodu na 28 grudzień.,Ty poród grudzień 28
Pani ma termin porodu na 10 grudzień.,Ty poród grudzień 10
Musi Pani zrobić badania krwi moczu.,Ty badanie krwi mocz musieć
Czy osoba niepełnosprawna ma ulgę na leki?,Osoba niepełnosprawność leki ulga można
Przed wejściem do gabinetu lekarza proszę zapukać.,Gabinet lekarz zapukać wcześniej
W piątek pójdę do lekarza.,Lekarz piątek pójść
Kiedy przyjmuje lekarz rodzinny?,Lekarz rodzinny przyjmować kiedy
Kiedy przyjmuje neurolog?,Neurolog przyjmować kiedy
Kiedy przyjmuje stomatolog?,Stomatolog przyjmować kiedy
Kiedy przyjmuje reumatolog?,Reumatolog przyjmować kiedy
Kiedy przyjmuje chirurg?,Chirurg przyjmować kiedy
Kiedy przyjmuje ortopeda?,Ortopeda przyjmować kiedy
Kiedy przyjmuje ginekolog?,Ginekolog przyjmować kiedy
Kiedy przyjmuje laryngolog?,Laryngolog przyjmować kiedy
Kiedy przyjmuje psychiatra?,Psychiatra przyjmować kiedy
Kiedy przyjmuje okulista?,Okulista przyjmować kiedy
Kiedy przyjmuje kardiolog?,Kardiolog przyjmować kiedy
Kiedy przyjmuje dermatolog?,Dermatolog przyjmować kiedy
Kiedy przyjmuje pediatra?,Pediatra przyjmować kiedy
Kiedy przyjmuje gastrolog?,Gastrolog przyjmować kiedy
Kiedy przyjmuje urolog?,Urolog przyjmować kiedy
Ta Pani słabo się czuje I muszę zawiadomić pogotowie.,Ona czuć słabo ja pogotowie zawiadomić muszę
Ten Pan słabo się czuje I muszę zawiadomić pogotowie.,On czuć słabo ja pogotowie zawiadomić muszę
Ta Pani słabo się czuje I muszę zawiadomić lekarza.,Ona czuć słabo ja lekarza zawiadomić muszę
Ten Pan słabo się czuje I muszę zawiadomić lekarza.,On czuć słabo ja lekarza zawiadomić muszę
Co Panią boli?,Ty boli co
Co Pana boli?,Ty boli co
Co Panią boli?,Ty boli gdzie
Co Pana boli?,Ty boli gdzie
Czy Pani ma skierowanie?,Ty skierowanie mieć
Czy Pan ma skierowanie?,Ty skierowanie mieć
Czy Pani jest ubezpieczona?,Ty ubezpieczenie mieć
Czy Pan jest ubezpieczony?,Ty ubezpieczenie mieć
Zanieś skierowanie do rejestracji.,Skierowanie rejestracja dać
Ja nie znam języka migowego.,Język migowy ja nie znać
Ja nie znam języka migowego.,Język migowy ja nie umieć
Proszę pokazać mi dowód osobisty.,Twój dowód osobisty pokaż mi
Jaki Pani ma adres?,Ty adres jaki
Jaki Pan ma adres?,Ty adres jaki
W dowodzie mam napisany adres.,Dowód osobisty adres pisać jest
Proszę napisać mi swój adres.,Ty pisać tu adres twój
Ja mieszkam w rzeszowie.,Ja rzeszów mieszkać
Witam co słychać?,Witam co słychać
Dziękuje dobrze.,Dobrze dziekować
Czy Pani pracuje?,Ty praca ma
Czy Pan pracuje?,Ty praca ma
Ja pracuję w spółdzielni.,Ja praca spółdzielnia
Nazywam się nowak.,Ja nazwisko n o w a k
Nazywam się kowalski.,Ja nazwisko k o w a l s k I
Jak Pani ma na imię?,Imię ty
Jak Pan ma na imię?,Imię ty
Mam na imię anna.,Ja imię a n n a
Mam na imię tomasz.,Ja imię t o m a s z
Mam na imię jan.,Ja imię j a n
Mam na imię kacper.,Ja imię k a c p e r
Mam na imię ola.,Ja imię o l a
Jak się Pani czuje?,Czuć jak ty
Jak się Pan czuje?,Czuć jak ty
Proszę usiąść.,Ty usiąść tu
Czy Pani rozumie co mówię?,Ja mówić ty rozumieć
Czy Pan rozumie co mówię?,Ja mówić ty rozumieć
Czy ty jesteś głucha?,Głucha ty
Czy ty jesteś głuchy?,Głuchy ty
Proszę tu napisać swoje nazwisko I imię.,Nazwisko imię twoje napisz tu
Czy Pani umie migać?,Ty umiesz migać
Czy Pan umie migać?,Ty umiesz migać
Proszę do mnie migać powoli.,Ty migać powoli
Trzeba przestrzegać przepisów prawa.,Prawo przepis przestrzegać trzeba
Mam sprawę w sądzie.,Ja sprawa sąd będzie
Pan otrzymał naganę w pracy.,Pan praca nagana było
Otrzymałeś naganę w pracy.,Ty praca nagana było
To są dwie osobne sprawy.,Sprawa 2 osobna
Czy kara będzie wysoka?,Kara jaka
Czy znasz przepisy ustawy?,Ty ustawa przepis wiedzieć
To jest decyzja administracyjna.,To decyzja administracyjna
To są instytucje państwowe,. to instytucje państwowe
Na jakiej ulicy jest zus?,Zus ulica jaka
Na jakiej ulicy jest zus?,Zus ulica jak nazywa
Na jakiej ulicy jest zus?,Zus ulica jaki adres
Gdzie w rzeszowie jest mops?,Mops rzeszów ulica jaka
Gdzie w rzeszowie jest mops?,Mops rzeszów ulica jak nazywa
Gdzie w rzeszowie jest mops?,Mops rzeszów ulica jaki adres
Trzeba napisać odwołanie.,Odwołanie pisać trzeba
Dlaczego Pani nie chce jeść?,Pani jeść nie chcieć dlaczego
Dlaczego Pan nie chce jeść?,Pan jeść nie chcieć dlaczego
Dlaczego nie chcesz jeść?,Ty jeść nie chcieć dlaczego
W szkole trzeba się uczyć.,Szkoła uczyć trzeba
Proszę się zapytać osobiście.,Ty zapytać
To jest szkolny obowiązek.,Szkoła obowiązek
Czy ty dobrze się uczyłeś w szkole?,Ty szkoła nauka dobrze było
To są dobrzy ludzie.,Ludzie dobrze
To jest dobry człowiek.,Ten człowiek dobry
Ja czekam na tego pana.,Ja czekać Pan ten
Co się stało?,Co się stało
Co się stało?,Co się wydarzyło
Czy Pani widziała wypadek?,Pani wypadek widzieć było
Czy widziałaś wypadek?,Ty wypadek widzieć było
Czy te dokumenty są ważne?,Te dokumenty ważne być
To jest ważna sprawa.,To sprawa ważna być
Czy Pan był świadkiem wypadku?,Pan wypadek widzieć było
Czy byłeś świadkiem wypadku?,Ty wypadek widzieć było
Czy Pan był świadkiem wypadku?,Ty świadek było
Czy Pani pamięta co się stało?,Pani pamiętać wydarzyło było
Czy Pan pamięta co się stało?,Pan pamiętać wydarzyło było
Czy pamiętasz co się stało?,Ty pamiętać wydarzyło było
Dzisiaj widziałam wypadek na ulicy.,Dzisiaj ja wypadek ulica widzieć
Ja nie pamiętam co się stało.,Ja zapomnieć wydarzyć
Kiedy Pani może przyjść?,Pani kiedy przyjść
Kiedy możesz przyjść?,Ty kiedy przyjść
Gdzie jest kasa?,Kasa gdzie
Tu jest błąd.,Tu błąd
Czy można podpisać ugodę?,Ugoda podpisać można
Proszę przekazać dokumenty.,Dokumenty przekazać proszę
W jakim rejonie mieszkasz?,Ty mieszkać rejon jaki
Przypominam o terminie.,Termin przypominać
Przypominam o terminie.,Termin pamiętać
Czy polska należy do unii europejskiej?,Polska być unia europa
Czy Pani ma konto w banku?,Pani konto bank masz
Czy Pan ma konto w banku?,Pan konto bank masz
Czy masz konto w banku?,Ty konto bank masz
Trzeba zwrócić kredyt do banku.,Bank rata zwrot trzeba
Trzeba zwrócić kredyt do banku.,Bank rata zwrot musi
Kiedy będzie wypłacona pożyczka?,Pożyczka wypłata kiedy
To jest ostatnia rata.,Rata ostatnia
Czy otrzymałaś zawiadomienie z banku?,Ty bank zawiadomienie było
Ja otrzymuję wypłatę na konto w banku.,Ja konto wypłata
Raty trzeba płacić systematycznie.,Rata systematyczne płacić trzeba
Raty trzeba płacić systematycznie.,Rata systematyczne płacić musieć
Ja potrzebuję wziąć pożyczkę.,Ja pożyczka potrzeba
Koniec ze spłatami rat.,Rata koniec
Kto to jest?,To kto
Jaka jest dzisiaj data?,Data dzisiaj jaka
Ja tutaj mieszkam.,Ja mieszkać tu
Ja tutaj mieszkam.,Ja mieszkać tutaj
W jakim roku?,Rok jaki
Jaki dzisiaj jest dzień?,Dzień dzisiaj jaki
Co to jest?,Co to jest
Proszę odpowiedzieć na pytanie.,Prosić - ja pytać ty
Proszę odpowiedzieć na pytanie.,Odpowiedz - prosić
Proszę migać powoli.,Ja prosić ty migać powoli
Proszę mówić powoli.,Ja prosić ty mówić powoli
Czy jest tłumacz języka migowego?,Tłumacz migać jest
Proszę odpowiedzieć na pytanie.,Ja pytać ty odpowiedź prosić
Ja umiem dobrze migać.,Ja migać dobrze
Ja ciebie nie zrozumiałem.,Ja nie rozumieć ciebie ty powtórzyć
Czy jutro jest poniedziałek?,Jutro poniedziałek
We wtorek mam badanie krwi.,Wtorek ja krew badanie
W środę ja nie pracuję.,Środa ja praca nie będzie
W czwartek miałem kontrolę policji.,Czwartek ja policja kontrola było
Co ty robisz w piątek?,Piątek ty co robić
W sobotę mam urodziny.,Sobota ja urodziny
Niedziela to dzień wolny od pracy.,Niedziela praca wolny
Czy ma Pani dowód osobisty?,Pani dowód mieć
Czy ma Pan dowód osobisty?,Pan dowód mieć
Czy masz dowód osobisty?,Ty dowód mieć
Czy ma Pani dowód osobisty?,Pani dowód masz
Czy ma Pan dowód osobisty?,Pan dowód masz
Czy masz dowód osobisty?,Ty dowód masz
Jaki ma Pani numer dowodu osobistego?,Pani dowód numer jaki
Jaki ma Pan numer dowodu osobistego?,Pan dowód numer jaki
Jaki masz numer dowodu osobistego?,Ty dowód numer jaki
Proszę napisać pesel.,Ty pesel pisać tu
Czy masz paszport?,Ty paszport masz
Na jakiej ulicy jest starostwo powiatowe?,Starostwo powiatowe ulica jaka
Na jakiej ulicy jest starostwo powiatowe?,Starostwo powiatowe ulica jak nazywa
Proszę wniosek na paszport.,Wniosek paszport ja chcieć
Proszę wniosek na paszport.,Wniosek paszport ja prosić
Jaka to jest gmina?,Gmina jaka
Jaka to jest gmina?,Jak nazywa gmina
Ja miekszam w mieście wojewódzkim.,Ja mieszkać miasto województwo
To jest powiat rzeszowski.,To powiat rzeszów
Gdzie jest urząd miasta?,Urząd miasta gdzie
Czy Pani umie mówić?,Pani mówić umieć
Czy Pan umie mówić?,Pan mówić umieć
Czy umiesz mówić?,Ty mówić umieć
Czy ty możesz mówić?,Ty mówić można
Czy Pani umie migać?,Pani migać umieć
Czy Pan umie migać?,Pan migać umieć
Czy umiesz migać?,Ty migać umieć
Czy Pani rozumie co ja migam?,Ja migam - Pani rozumieć
Czy Pan rozumie co ja migam?,Ja migam - Pan rozumieć
Czy rozumiesz co ja migam?,Ja migam - ty rozumieć
Czy możesz powtórzyć nazwisko?,Ty nazwisko powtórzyć można
Ja nie umiem migać.,Ja migać nie umieć
Ja nie rozumiem co ty do mnie migasz.,Ja nie rozumieć ciebie
Jak ta Pani nazywa się?,Ta Pani nazwisko jak
Jak ten Pan nazywa się?,Ten Pan nazwisko jak
Ja nie mogę powiedzieć nazwiska tej pani.,Ja nie powiedzieć nazwisko Pani
Ja nie mogę powiedzieć nazwiska tej pani.,Ja nie powiedzieć nazwisko ona
Ja nie mogę powiedzieć nazwiska tej pani.,Ja nie powiedzieć nazwisko jej
Dobry wieczór czy możemy porozmawiać?,Dobry wieczór ja rozmawiać można
Czy ten Pan był wysoki?,Pan wysoki był
Ja na pewno byłam w domu.,Ja dom na pewno było
Tu jest bezpiecznie.,Tu bezpiecznie
Ja jestem chuda.,Ja chuda jest
Tak ja pracuję.,Tak ja praca
Pani jest młoda.,Pani młoda jest
Ile kosztuje znaczek opłaty skarbowej?,Znaczek opłata skarbowa koszt ile
Trzeba zapłacić podatek leśny i rolny.,Podatek rolny leśny płacić trzeba
Trzeba zapłacić podatek leśny i rolny.,Podatek rolny leśny płacić musieć
Proszę o wydanie zaświadczenia o opłacaniu składek na ubezpieczenie społeczne rolników.,Zaświadczenie opłata składek ubezpieczenie społeczne rolników ja potrzeba-prosić dać mi
Do kiedy jest termin składania pit?,Pit złożyć termin jaki
Do kiedy jest termin składania pit?,Pit złożyć data jaka
Czy w urzędzie skarbowym pracuje tłumacz języka migowego?,Urząd skarbowy tłumacz język migowy pracować jest
Ta Pani się pomyliła.,Ta Pani pomyłka było
Trzeba zapłacić za dowód osobisty.,Dowód osobisty płacić potrzeba
Czy ma Pani zdjęcie paszportowe?,Pani zdjęcie paszport ma
Kto podpisał oświadczenie?,Oświadczenie podpis kto
Proszę napisać numer konta.,Ty numer konta napisać proszę
Proszę tu napisać dzisiejszą datę.,Data dzisiaj napisać proszę
Potrzeba napisać numer dowodu.,Numer dowód napisać potrzeba
Czy ma Pani rodzinę?,Pani rodzina masz
Czy ma Pan rodzinę?,Pan rodzina masz
Czy masz rodzinę?,Ty rodzina masz
Czy Pan jest kawalerem?,Pan kawaler
Czy jesteś kawalerem?,Ty kawaler
Czy Pani jest panną?,Pani panna
Czy jesteś panną?,Ty panna
Czy ma Pani krewnych?,Pani krewni masz
Czy ma Pan krewnych?,Pan krewni masz
Czy masz krewnych?,Ty krewni masz
Czy ma Pani dzieci?,Pani dzieci masz
Czy ma Pan dzieci?,Pan dzieci masz
Czy masz dzieci?,Ty dzieci masz
Ja mam córkę i syna.,Ja córka syn mieć
Ja nie mam rodzeństwa.,Ja rodzeństwo nie mieć
Babcia i dziadek mieszkają na wsi.,Babcia dziadek mieszkać wieś
Mama i tato pracują w gminie.,Mama tata praca gmina
Dzień dobry pani.,Dzień dobry
Dzień dobry panu.,Dzień dobry
Jak się Pani nazywa?,Pani nazwisko
Jak się Pan nazywa?,Pan nazwisko
Jak się nazywasz?,Ty nazwisko
Ja nazywam się.,Ja nazwisko
Czy Pani mnie dobrze widzi?,Pani dobrze widzi
Czy mnie dobrze widzisz?,Ty dobrze widzi
Ja ciebie widzę.,Ja widzieć ciebie
Jaki ma Pani numer domu?,Pani dom numer jaki
Jaki ma Pan numer domu?,Pan dom numer jaki
Jaki masz numer domu?,Ty dom numer jaki
Gdzie Pani mieszka?,Pani mieszkać gdzie
Gdzie Pan mieszka?,Pan mieszkać gdzie
Gdzie mieszkasz?,Ty mieszkać gdzie
Ja mieszkam w rzeszowie.,Ja mieszkać rzeszów
Na jakiej ulicy Pani mieszka?,Ja mieszkać ulica
Na jakiej ulicy Pan mieszka?,Ja mieszkać ulica
Jaki ma Pani adres?,Ty adres jaki
Jaki ma Pan adres?,Ty adres jaki
Czy ma Pani zasiłek?,Pani zasiłek ma
To jest wniosek na zasiłek.,To wniosek zasiłek jest
Ja nie mam dokumentów.,Ja dokumenty nie mieć
Która jest godzina?,Godzina która
Ja nie mam zegarka.,Ja zegarek nie mam
Czy masz komputer w domu?,Ty komputer dom masz
Ja mam internet.,Ja internet mam
Jutro mam spotkanie w zakładzie pracy.,Jutro spotkanie zakład pracy będzie
Czy masz klucze do domu?,Ty klucz dom masz
W zakładzie pracy była kontrola.,Zakład praca kontrola była
Ja lubię pracować na komputerze.,Ja praca komputer lubić
Gdzie można załatwić dodatek mieszkaniowy?,Dodatek mieszkanie załatwić gdzie
Ja nie umiem wypełnić wniosku o dodatek mieszkaniowy.,Wniosek wypełnić jak ja nie wiem
Ja nie umiem wypełnić wniosku o dodatek mieszkaniowy.,Wniosek wypełnić jak ja nie umiem
To jest fundusz remontowy.,To fundusz remontowy jest
Ja mam rentę socjalną.,Ja renta socjalna mam
Czy można to skreślić?,To skreślić można
Gdzie jest biuro straży miejskiej?,Straż miejska biuro gdzie
Trzeba pomagać osobom głuchoniewidomym.,Głuchoniewidomym osobom pomagać rzeba
To wolne miejsce.,To miejsce wolne
Czy ja mam płacić grzywnę?,Ja grzywna płacić jak
Kiedy była interwencja policji?,Policja interwencja kiedy było
Ja lubię oglądać telewizję.,Ja telewizja oglądać lubić
Do głuchych trzeba pisać sms.,Dla głusi sms pisać
Czy to jest Pani telefon?,Pani telefon
Czy to jest Pana telefon?,Pana telefon
Czy to jest twój telefon?,Twój telefon
Czy widziałaś marsz w telewizji?,Ty telewizja marsz oglądać było
Proszę napisać adres e-mail.,Ty e-mail jaki ty pisać tu
Ta niebezpieczna osoba była aresztowana.,Osoba areszt było ona niebezpieczna
Kiedy oddadzą moje dokumenty?,Moje dokumenty zwrot kiedy
Znalazłam dowód osobisty.,Ja dowód osobisty znaleźć
Skradziono mi paszport.,Mój paszport kradzież
To jest zaświadczenie o zarobkach.,To zaświadczenie zarobki
Kiedy można odebrać paszport?,Ja paszport odbiór kiedy
Ja zgubiłam dowód osobisty i paszport.,Ja dowód paszport zgubić
Proszę dać mi dowód.,Ty dowód dać
Ja poszukam dokumenty w domu.,Ja dokumenty dom szukać
Proszę przyjechać dzisiaj do pracy.,Ty praca dzisiaj przyjechać
Gdzie Pani pracuje?,Pani praca gdzie
Ja jestem bezrobotny.,Ja bezrobotny jest
Ja jestem bezrobotny.,Ja bezrobotny być
Proszę złożyć dokumenty.,Prosić dokumenty złożyć
Ja mam emeryturę.,Ja emerytura mam
Ja mam emeryturę.,Ja emerytura mieć
Czy Pani jest rencistką?,Pani rentę mieć
Czy Pani jest rencistką?,Pani rentę ma
Gdzie można załatwić legitymację osoby niepełnosprawnej?,Legitymacja niepełnosprawny załatwic gdzie
Czy ta Pani pomaga osobom niesłyszącym załatwiać sprawy w urzędach?,Sprawy urząd załatwić pomaga Pani
Na tej ulicy jest niebezpiecznie.,Tu ulica niebezpiecznie
O której godzinie było włamanie?,Włamać godzina która było
Jaka dzisiaj jest pogoda?,Pogoda dzisiaj jaka
Proszę siedzieć spokojnie.,Ty spokój siedź
Ja nie lubię deszczu.,Deszcz padać ja nie lubić
Gdzie jest wyjście?,Drzwi wyjście gdzie
To są drzwi wejściowe.,To drzwi wejście
To są drzwi wejściowe.,To drzwi wejść
Włamano się do mojego domu.,Mój dom włamanie było
W mieszkaniu jest bezpiecznie.,Mieszkanie bezpiecznie jest
Jakie Pani ma obywatelstwo?,Pani obywatelstwo jakie
Jakie Pan ma obywatelstwo?,Pan obywatelstwo jakie
Jakie masz obywatelstwo?,Ty obywatelstwo jakie
Ja mam obywatelstwo polskie.,Ja polska obywatel
To jest godło polski.,To godło polska
Jakiej Pani jest narodowości?,Ty narodowość jakie
Jakiej Pani jest narodowości?,Pani narodowość jakie
To jest polska flaga.,To flaga polska
Jak nazywa się prezydent polski?,Prezydent polski nazwisko jakie
Brat pracuje w urzędzie marszałkowskim.,Brat praca urząd marszałkowski
Ile lat pracuje prezes w tym zakładzie?,Prezes praca ten zakład ile lat
Czy Pani jest głucha?,Pani głuchy
Czy Pan jest głuchy?,Pan głuchy
Czy Pani jest głuchoniema?,Pani głuchy
Czy Pan jest głuchoniemy?,Pan głuchy
Czy Pani jest słysząca?,Pani słyszeć
Czy Pan jest słyszący?,Pan słyszeć
Czy jesteś słyszący?,Ty słyszeć
Czy jesteś słyszącą?,Ty słyszeć
Czy Pani ma orzeczenie o niepełnosprawności?,Pani orzeczenie niepełnosprawny miec
Czy Pan ma orzeczenie o niepełnosprawności?,Pan orzeczenie niepełnosprawny miec
Czy masz orzeczenie o niepełnosprawności?,Ty orzeczenie niepełnosprawny miec
Czy Pani ma orzeczenie o niepełnosprawności?,Ty inwalida grupa jak wygląda
Czy Pan ma orzeczenie o niepełnosprawności?,Ty inwalida grupa jak wygląda
Czy masz orzeczenie o niepełnosprawności?,Ty inwalida grupa jak wygląda
Czy Pani umie pisać?,Pani pisać umieć
Czy Pan umie pisać?,Pan pisać umieć
Czy umiesz pisać?,Ty pisać umieć
Czy Pani umie czytać?,Pani czytać umieć
Czy Pan umie czytać?,Pan czytać umieć
Czy umiesz czytać?,Ty czytać umieć
Proszę się tu podpisać.,Ty podpisać tu
Proszę się tu podpisać.,Pani podpisać tu
Proszę się tu podpisać.,Pan podpisać tu
Czy Pani otrzymała wezwanie?,Pani wezwanie masz otrzymać
Czy pan= otrzymał= wezwanie?,Pan wezwanie masz otrzymać
Czy otrzymałeś wezwanie?,Ty wezwanie masz otrzymać
Czy otrzymałaś wezwanie?,Ty wezwanie masz otrzymać
Czy Pani przeczytała wezwanie?,Pani wezwanie czytać było
Czy Pan przeczytała wezwanie?,Pan wezwanie czytać było
Czy przeczytałaś wezwanie?,Ty wezwanie czytać było
Czy przeczytałeś wezwanie?,Ty wezwanie czytać było
Ja nie mam orzeczenia o niepełnosprawności.,Ja orzeczenie niepełnosprawny nie miec
Proszę odpis mojego aktu urodzenia.,Odpis akt urodzenia moj potrzeba proszę
Jaki jest Pani stan cywilny?,Pani panna/mężatka
Ja jestem w separacji dwa lata.,Ja separacja dwa lata być
Jak nazywa się kierownik urzędu stanu cywilnego?,Kierownik urząd stan cywilny nazwisko jak
Jaki jest termin ślubu?,Ślub termin kiedy
Jaki jest termin ślubu?,Ślub termin jaki
Ja potrzebuję akt zgonu.,Ja akt zgonu potrzeba
Ja nie chcę rozwodu.,Ja rozwód nie chcieć
Trzeba wezwać pogotowie.,Pogotowie wezwać
Który to szpital.,Szpital gdzie
Który to szpital.,Szpital który
Który to szpital.,Szpital jaki
Ten człowiek jest nieprzytomny.,Człowiek nieprzytomny
